dateRep,year,month,day,cases,deaths,countriesAndTerritories,geod,popData2020,countryterritoryCode,continentExp
12/03/2021,2021,3,12,2847,18,Austria,AT,8901064,AUT,Europe
11/03/2021,2021,3,11,2847,12,Austria,AT,8901064,AUT,Europe
10/03/2021,2021,3,10,2194,21,Austria,AT,8901064,AUT,Europe
09/03/2021,2021,3,9,1965,23,Austria,AT,8901064,AUT,Europe
08/03/2021,2021,3,8,2281,9,Austria,AT,8901064,AUT,Europe
07/03/2021,2021,3,7,2846,16,Austria,AT,8901064,AUT,Europe
06/03/2021,2021,3,6,2319,24,Austria,AT,8901064,AUT,Europe
05/03/2021,2021,3,5,2691,19,Austria,AT,8901064,AUT,Europe
04/03/2021,2021,3,4,2497,14,Austria,AT,8901064,AUT,Europe
03/03/2021,2021,3,3,1926,17,Austria,AT,8901064,AUT,Europe
02/03/2021,2021,3,2,1148,25,Austria,AT,8901064,AUT,Europe
01/03/2021,2021,3,1,456112,8414,Austria,AT,8901064,AUT,Europe
12/03/2021,2021,3,12,0,0,Belgium,BE,11522440,BEL,Europe
11/03/2021,2021,3,11,1,3,Belgium,BE,11522440,BEL,Europe
10/03/2021,2021,3,10,1541,22,Belgium,BE,11522440,BEL,Europe
09/03/2021,2021,3,9,3257,23,Belgium,BE,11522440,BEL,Europe
08/03/2021,2021,3,8,3678,36,Belgium,BE,11522440,BEL,Europe
07/03/2021,2021,3,7,791,19,Belgium,BE,11522440,BEL,Europe
06/03/2021,2021,3,6,1522,24,Belgium,BE,11522440,BEL,Europe
05/03/2021,2021,3,5,2739,33,Belgium,BE,11522440,BEL,Europe
04/03/2021,2021,3,4,2694,16,Belgium,BE,11522440,BEL,Europe
03/03/2021,2021,3,3,2764,26,Belgium,BE,11522440,BEL,Europe
02/03/2021,2021,3,2,2766,25,Belgium,BE,11522440,BEL,Europe
01/03/2021,2021,3,1,776261,22143,Belgium,BE,11522440,BEL,Europe
12/03/2021,2021,3,12,3121,95,Bulgaria,BG,6951482,BGR,Europe
11/03/2021,2021,3,11,2774,97,Bulgaria,BG,6951482,BGR,Europe
10/03/2021,2021,3,10,3502,138,Bulgaria,BG,6951482,BGR,Europe
09/03/2021,2021,3,9,2995,150,Bulgaria,BG,6951482,BGR,Europe
08/03/2021,2021,3,8,497,21,Bulgaria,BG,6951482,BGR,Europe
07/03/2021,2021,3,7,1426,22,Bulgaria,BG,6951482,BGR,Europe
06/03/2021,2021,3,6,3004,65,Bulgaria,BG,6951482,BGR,Europe
05/03/2021,2021,3,5,2198,93,Bulgaria,BG,6951482,BGR,Europe
04/03/2021,2021,3,4,1154,22,Bulgaria,BG,6951482,BGR,Europe
03/03/2021,2021,3,3,2403,83,Bulgaria,BG,6951482,BGR,Europe
02/03/2021,2021,3,2,2588,117,Bulgaria,BG,6951482,BGR,Europe
01/03/2021,2021,3,1,247038,10191,Bulgaria,BG,6951482,BGR,Europe
12/03/2021,2021,3,12,777,10,Croatia,HR,4058165,HRV,Europe
11/03/2021,2021,3,11,962,4,Croatia,HR,4058165,HRV,Europe
10/03/2021,2021,3,10,491,12,Croatia,HR,4058165,HRV,Europe
09/03/2021,2021,3,9,94,19,Croatia,HR,4058165,HRV,Europe
08/03/2021,2021,3,8,394,5,Croatia,HR,4058165,HRV,Europe
07/03/2021,2021,3,7,658,15,Croatia,HR,4058165,HRV,Europe
06/03/2021,2021,3,6,590,6,Croatia,HR,4058165,HRV,Europe
05/03/2021,2021,3,5,667,9,Croatia,HR,4058165,HRV,Europe
04/03/2021,2021,3,4,747,7,Croatia,HR,4058165,HRV,Europe
03/03/2021,2021,3,3,394,11,Croatia,HR,4058165,HRV,Europe
02/03/2021,2021,3,2,91,11,Croatia,HR,4058165,HRV,Europe
01/03/2021,2021,3,1,242973,5526,Croatia,HR,4058165,HRV,Europe
12/03/2021,2021,3,12,431,1,Cyprus,CY,888005,CYP,Europe
11/03/2021,2021,3,11,415,2,Cyprus,CY,888005,CYP,Europe
10/03/2021,2021,3,10,420,0,Cyprus,CY,888005,CYP,Europe
09/03/2021,2021,3,9,352,0,Cyprus,CY,888005,CYP,Europe
08/03/2021,2021,3,8,303,1,Cyprus,CY,888005,CYP,Europe
07/03/2021,2021,3,7,298,0,Cyprus,CY,888005,CYP,Europe
06/03/2021,2021,3,6,273,0,Cyprus,CY,888005,CYP,Europe
05/03/2021,2021,3,5,384,0,Cyprus,CY,888005,CYP,Europe
04/03/2021,2021,3,4,323,0,Cyprus,CY,888005,CYP,Europe
03/03/2021,2021,3,3,288,1,Cyprus,CY,888005,CYP,Europe
02/03/2021,2021,3,2,302,0,Cyprus,CY,888005,CYP,Europe
01/03/2021,2021,3,1,34707,231,Cyprus,CY,888005,CYP,Europe
12/03/2021,2021,3,12,11274,241,Czechia,CZ,10693939,CZE,Europe
11/03/2021,2021,3,11,14529,239,Czechia,CZ,10693939,CZE,Europe
10/03/2021,2021,3,10,15380,238,Czechia,CZ,10693939,CZE,Europe
09/03/2021,2021,3,9,10524,265,Czechia,CZ,10693939,CZE,Europe
08/03/2021,2021,3,8,3960,165,Czechia,CZ,10693939,CZE,Europe
07/03/2021,2021,3,7,9167,159,Czechia,CZ,10693939,CZE,Europe
06/03/2021,2021,3,6,13162,233,Czechia,CZ,10693939,CZE,Europe
05/03/2021,2021,3,5,14714,197,Czechia,CZ,10693939,CZE,Europe
04/03/2021,2021,3,4,15230,187,Czechia,CZ,10693939,CZE,Europe
03/03/2021,2021,3,3,16816,240,Czechia,CZ,10693939,CZE,Europe
02/03/2021,2021,3,2,12191,232,Czechia,CZ,10693939,CZE,Europe
01/03/2021,2021,3,1,1240051,20469,Czechia,CZ,10693939,CZE,Europe
12/03/2021,2021,3,12,862,2,Denmark,DK,5822763,DNK,Europe
11/03/2021,2021,3,11,2007,1,Denmark,DK,5822763,DNK,Europe
10/03/2021,2021,3,10,527,0,Denmark,DK,5822763,DNK,Europe
09/03/2021,2021,3,9,425,2,Denmark,DK,5822763,DNK,Europe
08/03/2021,2021,3,8,513,2,Denmark,DK,5822763,DNK,Europe
07/03/2021,2021,3,7,394,0,Denmark,DK,5822763,DNK,Europe
06/03/2021,2021,3,6,614,3,Denmark,DK,5822763,DNK,Europe
05/03/2021,2021,3,5,520,4,Denmark,DK,5822763,DNK,Europe
04/03/2021,2021,3,4,574,3,Denmark,DK,5822763,DNK,Europe
03/03/2021,2021,3,3,532,2,Denmark,DK,5822763,DNK,Europe
02/03/2021,2021,3,2,497,4,Denmark,DK,5822763,DNK,Europe
01/03/2021,2021,3,1,211195,2361,Denmark,DK,5822763,DNK,Europe
12/03/2021,2021,3,12,1357,0,Estonia,EE,1328976,EST,Europe
11/03/2021,2021,3,11,1956,9,Estonia,EE,1328976,EST,Europe
10/03/2021,2021,3,10,1482,8,Estonia,EE,1328976,EST,Europe
09/03/2021,2021,3,9,1308,2,Estonia,EE,1328976,EST,Europe
08/03/2021,2021,3,8,1180,14,Estonia,EE,1328976,EST,Europe
07/03/2021,2021,3,7,1319,9,Estonia,EE,1328976,EST,Europe
06/03/2021,2021,3,6,1540,7,Estonia,EE,1328976,EST,Europe
05/03/2021,2021,3,5,1534,14,Estonia,EE,1328976,EST,Europe
04/03/2021,2021,3,4,1417,8,Estonia,EE,1328976,EST,Europe
03/03/2021,2021,3,3,1454,17,Estonia,EE,1328976,EST,Europe
02/03/2021,2021,3,2,1111,0,Estonia,EE,1328976,EST,Europe
01/03/2021,2021,3,1,66628,598,Estonia,EE,1328976,EST,Europe
12/03/2021,2021,3,12,720,4,Finland,FI,5525292,FIN,Europe
11/03/2021,2021,3,11,779,3,Finland,FI,5525292,FIN,Europe
10/03/2021,2021,3,10,588,2,Finland,FI,5525292,FIN,Europe
09/03/2021,2021,3,9,459,7,Finland,FI,5525292,FIN,Europe
08/03/2021,2021,3,8,511,0,Finland,FI,5525292,FIN,Europe
07/03/2021,2021,3,7,648,0,Finland,FI,5525292,FIN,Europe
06/03/2021,2021,3,6,704,3,Finland,FI,5525292,FIN,Europe
05/03/2021,2021,3,5,758,5,Finland,FI,5525292,FIN,Europe
04/03/2021,2021,3,4,797,4,Finland,FI,5525292,FIN,Europe
03/03/2021,2021,3,3,581,5,Finland,FI,5525292,FIN,Europe
02/03/2021,2021,3,2,392,8,Finland,FI,5525292,FIN,Europe
01/03/2021,2021,3,1,57672,742,Finland,FI,5525292,FIN,Europe
12/03/2021,2021,3,12,27166,265,France,FR,67320216,FRA,Europe
11/03/2021,2021,3,11,30303,264,France,FR,67320216,FRA,Europe
10/03/2021,2021,3,10,23302,368,France,FR,67320216,FRA,Europe
09/03/2021,2021,3,9,5327,359,France,FR,67320216,FRA,Europe
08/03/2021,2021,3,8,21825,130,France,FR,67320216,FRA,Europe
07/03/2021,2021,3,7,23306,170,France,FR,67320216,FRA,Europe
06/03/2021,2021,3,6,23507,439,France,FR,67320216,FRA,Europe
05/03/2021,2021,3,5,25279,293,France,FR,67320216,FRA,Europe
04/03/2021,2021,3,4,26788,322,France,FR,67320216,FRA,Europe
03/03/2021,2021,3,3,22857,417,France,FR,67320216,FRA,Europe
02/03/2021,2021,3,2,4703,375,France,FR,67320216,FRA,Europe
01/03/2021,2021,3,1,3755968,86454,France,FR,67320216,FRA,Europe
12/03/2021,2021,3,12,12834,252,Germany,DE,83166711,DEU,Europe
11/03/2021,2021,3,11,14356,321,Germany,DE,83166711,DEU,Europe
10/03/2021,2021,3,10,9146,300,Germany,DE,83166711,DEU,Europe
09/03/2021,2021,3,9,4252,255,Germany,DE,83166711,DEU,Europe
08/03/2021,2021,3,8,5011,34,Germany,DE,83166711,DEU,Europe
07/03/2021,2021,3,7,8103,96,Germany,DE,83166711,DEU,Europe
06/03/2021,2021,3,6,9557,300,Germany,DE,83166711,DEU,Europe
05/03/2021,2021,3,5,10580,264,Germany,DE,83166711,DEU,Europe
04/03/2021,2021,3,4,11912,359,Germany,DE,83166711,DEU,Europe
03/03/2021,2021,3,3,9019,418,Germany,DE,83166711,DEU,Europe
02/03/2021,2021,3,2,3943,358,Germany,DE,83166711,DEU,Europe
01/03/2021,2021,3,1,2447068,70105,Germany,DE,83166711,DEU,Europe
12/03/2021,2021,3,12,2570,51,Greece,EL,10718565,GRC,Europe
11/03/2021,2021,3,11,2629,43,Greece,EL,10718565,GRC,Europe
10/03/2021,2021,3,10,3181,46,Greece,EL,10718565,GRC,Europe
09/03/2021,2021,3,9,1161,39,Greece,EL,10718565,GRC,Europe
08/03/2021,2021,3,8,1142,53,Greece,EL,10718565,GRC,Europe
07/03/2021,2021,3,7,2301,41,Greece,EL,10718565,GRC,Europe
06/03/2021,2021,3,6,2181,32,Greece,EL,10718565,GRC,Europe
05/03/2021,2021,3,5,2217,35,Greece,EL,10718565,GRC,Europe
04/03/2021,2021,3,4,2697,40,Greece,EL,10718565,GRC,Europe
03/03/2021,2021,3,3,2312,23,Greece,EL,10718565,GRC,Europe
02/03/2021,2021,3,2,1170,30,Greece,EL,10718565,GRC,Europe
01/03/2021,2021,3,1,191100,6504,Greece,EL,10718565,GRC,Europe
12/03/2021,2021,3,12,9011,130,Hungary,HU,9769526,HUN,Europe
11/03/2021,2021,3,11,8312,172,Hungary,HU,9769526,HUN,Europe
10/03/2021,2021,3,10,5653,179,Hungary,HU,9769526,HUN,Europe
09/03/2021,2021,3,9,6494,158,Hungary,HU,9769526,HUN,Europe
08/03/2021,2021,3,8,2696,115,Hungary,HU,9769526,HUN,Europe
07/03/2021,2021,3,7,6201,108,Hungary,HU,9769526,HUN,Europe
06/03/2021,2021,3,6,7269,146,Hungary,HU,9769526,HUN,Europe
05/03/2021,2021,3,5,6369,143,Hungary,HU,9769526,HUN,Europe
04/03/2021,2021,3,4,6278,152,Hungary,HU,9769526,HUN,Europe
03/03/2021,2021,3,3,4211,136,Hungary,HU,9769526,HUN,Europe
02/03/2021,2021,3,2,2764,130,Hungary,HU,9769526,HUN,Europe
01/03/2021,2021,3,1,432925,15058,Hungary,HU,9769526,HUN,Europe
12/03/2021,2021,3,12,1,0,Iceland,IS,364134,ISL,Europe
11/03/2021,2021,3,11,2,0,Iceland,IS,364134,ISL,Europe
10/03/2021,2021,3,10,3,0,Iceland,IS,364134,ISL,Europe
09/03/2021,2021,3,9,5,0,Iceland,IS,364134,ISL,Europe
08/03/2021,2021,3,8,0,0,Iceland,IS,364134,ISL,Europe
07/03/2021,2021,3,7,0,0,Iceland,IS,364134,ISL,Europe
06/03/2021,2021,3,6,1,0,Iceland,IS,364134,ISL,Europe
05/03/2021,2021,3,5,0,0,Iceland,IS,364134,ISL,Europe
04/03/2021,2021,3,4,3,0,Iceland,IS,364134,ISL,Europe
03/03/2021,2021,3,3,1,0,Iceland,IS,364134,ISL,Europe
02/03/2021,2021,3,2,5,0,Iceland,IS,364134,ISL,Europe
01/03/2021,2021,3,1,6049,29,Iceland,IS,364134,ISL,Europe
12/03/2021,2021,3,12,591,10,Ireland,IE,4964440,IRL,Europe
11/03/2021,2021,3,11,631,47,Ireland,IE,4964440,IRL,Europe
10/03/2021,2021,3,10,306,30,Ireland,IE,4964440,IRL,Europe
09/03/2021,2021,3,9,432,0,Ireland,IE,4964440,IRL,Europe
08/03/2021,2021,3,8,520,3,Ireland,IE,4964440,IRL,Europe
07/03/2021,2021,3,7,530,14,Ireland,IE,4964440,IRL,Europe
06/03/2021,2021,3,6,520,9,Ireland,IE,4964440,IRL,Europe
05/03/2021,2021,3,5,460,39,Ireland,IE,4964440,IRL,Europe
04/03/2021,2021,3,4,559,24,Ireland,IE,4964440,IRL,Europe
03/03/2021,2021,3,3,357,14,Ireland,IE,4964440,IRL,Europe
02/03/2021,2021,3,2,681,0,Ireland,IE,4964440,IRL,Europe
01/03/2021,2021,3,1,219592,4319,Ireland,IE,4964440,IRL,Europe
12/03/2021,2021,3,12,25649,373,Italy,IT,59641488,ITA,Europe
11/03/2021,2021,3,11,22275,332,Italy,IT,59641488,ITA,Europe
10/03/2021,2021,3,10,19725,376,Italy,IT,59641488,ITA,Europe
09/03/2021,2021,3,9,13882,318,Italy,IT,59641488,ITA,Europe
08/03/2021,2021,3,8,20724,207,Italy,IT,59641488,ITA,Europe
07/03/2021,2021,3,7,23633,307,Italy,IT,59641488,ITA,Europe
06/03/2021,2021,3,6,24010,297,Italy,IT,59641488,ITA,Europe
05/03/2021,2021,3,5,22845,339,Italy,IT,59641488,ITA,Europe
04/03/2021,2021,3,4,20840,347,Italy,IT,59641488,ITA,Europe
03/03/2021,2021,3,3,17063,343,Italy,IT,59641488,ITA,Europe
02/03/2021,2021,3,2,13106,246,Italy,IT,59641488,ITA,Europe
01/03/2021,2021,3,1,2925265,97699,Italy,IT,59641488,ITA,Europe
12/03/2021,2021,3,12,638,11,Latvia,LV,1907675,LVA,Europe
11/03/2021,2021,3,11,639,21,Latvia,LV,1907675,LVA,Europe
10/03/2021,2021,3,10,472,6,Latvia,LV,1907675,LVA,Europe
09/03/2021,2021,3,9,194,4,Latvia,LV,1907675,LVA,Europe
08/03/2021,2021,3,8,322,8,Latvia,LV,1907675,LVA,Europe
07/03/2021,2021,3,7,595,7,Latvia,LV,1907675,LVA,Europe
06/03/2021,2021,3,6,746,14,Latvia,LV,1907675,LVA,Europe
05/03/2021,2021,3,5,646,12,Latvia,LV,1907675,LVA,Europe
04/03/2021,2021,3,4,919,16,Latvia,LV,1907675,LVA,Europe
03/03/2021,2021,3,3,645,17,Latvia,LV,1907675,LVA,Europe
02/03/2021,2021,3,2,272,3,Latvia,LV,1907675,LVA,Europe
01/03/2021,2021,3,1,86186,1618,Latvia,LV,1907675,LVA,Europe
12/03/2021,2021,3,12,7,0,Liechtenstein,LI,38747,LIE,Europe
11/03/2021,2021,3,11,0,0,Liechtenstein,LI,38747,LIE,Europe
10/03/2021,2021,3,10,0,0,Liechtenstein,LI,38747,LIE,Europe
09/03/2021,2021,3,9,81,0,Liechtenstein,LI,38747,LIE,Europe
08/03/2021,2021,3,8,0,0,Liechtenstein,LI,38747,LIE,Europe
07/03/2021,2021,3,7,1,0,Liechtenstein,LI,38747,LIE,Europe
06/03/2021,2021,3,6,6,0,Liechtenstein,LI,38747,LIE,Europe
05/03/2021,2021,3,5,5,0,Liechtenstein,LI,38747,LIE,Europe
04/03/2021,2021,3,4,1,0,Liechtenstein,LI,38747,LIE,Europe
03/03/2021,2021,3,3,1,0,Liechtenstein,LI,38747,LIE,Europe
02/03/2021,2021,3,2,8,0,Liechtenstein,LI,38747,LIE,Europe
01/03/2021,2021,3,1,2567,54,Liechtenstein,LI,38747,LIE,Europe
12/03/2021,2021,3,12,364,10,Lithuania,LT,2794090,LTU,Europe
11/03/2021,2021,3,11,606,12,Lithuania,LT,2794090,LTU,Europe
10/03/2021,2021,3,10,486,10,Lithuania,LT,2794090,LTU,Europe
09/03/2021,2021,3,9,686,13,Lithuania,LT,2794090,LTU,Europe
08/03/2021,2021,3,8,415,7,Lithuania,LT,2794090,LTU,Europe
07/03/2021,2021,3,7,464,18,Lithuania,LT,2794090,LTU,Europe
06/03/2021,2021,3,6,451,9,Lithuania,LT,2794090,LTU,Europe
05/03/2021,2021,3,5,533,13,Lithuania,LT,2794090,LTU,Europe
04/03/2021,2021,3,4,526,18,Lithuania,LT,2794090,LTU,Europe
03/03/2021,2021,3,3,427,10,Lithuania,LT,2794090,LTU,Europe
02/03/2021,2021,3,2,2055,9,Lithuania,LT,2794090,LTU,Europe
01/03/2021,2021,3,1,197343,3244,Lithuania,LT,2794090,LTU,Europe
12/03/2021,2021,3,12,265,2,Luxembourg,LU,626108,LUX,Europe
11/03/2021,2021,3,11,234,5,Luxembourg,LU,626108,LUX,Europe
10/03/2021,2021,3,10,145,5,Luxembourg,LU,626108,LUX,Europe
09/03/2021,2021,3,9,31,1,Luxembourg,LU,626108,LUX,Europe
08/03/2021,2021,3,8,140,5,Luxembourg,LU,626108,LUX,Europe
07/03/2021,2021,3,7,210,5,Luxembourg,LU,626108,LUX,Europe
06/03/2021,2021,3,6,186,5,Luxembourg,LU,626108,LUX,Europe
05/03/2021,2021,3,5,208,4,Luxembourg,LU,626108,LUX,Europe
04/03/2021,2021,3,4,270,2,Luxembourg,LU,626108,LUX,Europe
03/03/2021,2021,3,3,152,2,Luxembourg,LU,626108,LUX,Europe
02/03/2021,2021,3,2,55,1,Luxembourg,LU,626108,LUX,Europe
01/03/2021,2021,3,1,55425,638,Luxembourg,LU,626108,LUX,Europe
12/03/2021,2021,3,12,283,4,Malta,MT,514564,MLT,Europe
11/03/2021,2021,3,11,510,2,Malta,MT,514564,MLT,Europe
10/03/2021,2021,3,10,248,1,Malta,MT,514564,MLT,Europe
09/03/2021,2021,3,9,201,0,Malta,MT,514564,MLT,Europe
08/03/2021,2021,3,8,182,5,Malta,MT,514564,MLT,Europe
07/03/2021,2021,3,7,345,1,Malta,MT,514564,MLT,Europe
06/03/2021,2021,3,6,283,3,Malta,MT,514564,MLT,Europe
05/03/2021,2021,3,5,362,4,Malta,MT,514564,MLT,Europe
04/03/2021,2021,3,4,233,2,Malta,MT,514564,MLT,Europe
03/03/2021,2021,3,3,336,3,Malta,MT,514564,MLT,Europe
02/03/2021,2021,3,2,175,1,Malta,MT,514564,MLT,Europe
01/03/2021,2021,3,1,22482,315,Malta,MT,514564,MLT,Europe
12/03/2021,2021,3,12,5319,50,Netherlands,NL,17407585,NLD,Europe
11/03/2021,2021,3,11,5255,31,Netherlands,NL,17407585,NLD,Europe
10/03/2021,2021,3,10,4297,56,Netherlands,NL,17407585,NLD,Europe
09/03/2021,2021,3,9,3832,28,Netherlands,NL,17407585,NLD,Europe
08/03/2021,2021,3,8,4522,30,Netherlands,NL,17407585,NLD,Europe
07/03/2021,2021,3,7,5329,41,Netherlands,NL,17407585,NLD,Europe
06/03/2021,2021,3,6,4668,32,Netherlands,NL,17407585,NLD,Europe
05/03/2021,2021,3,5,4110,33,Netherlands,NL,17407585,NLD,Europe
04/03/2021,2021,3,4,4991,48,Netherlands,NL,17407585,NLD,Europe
03/03/2021,2021,3,3,3976,65,Netherlands,NL,17407585,NLD,Europe
02/03/2021,2021,3,2,3753,21,Netherlands,NL,17407585,NLD,Europe
01/03/2021,2021,3,1,1087303,15544,Netherlands,NL,17407585,NLD,Europe
12/03/2021,2021,3,12,684,1,Norway,NO,5367580,NOR,Europe
11/03/2021,2021,3,11,716,6,Norway,NO,5367580,NOR,Europe
10/03/2021,2021,3,10,828,0,Norway,NO,5367580,NOR,Europe
09/03/2021,2021,3,9,1447,0,Norway,NO,5367580,NOR,Europe
08/03/2021,2021,3,8,0,0,Norway,NO,5367580,NOR,Europe
07/03/2021,2021,3,7,0,0,Norway,NO,5367580,NOR,Europe
06/03/2021,2021,3,6,570,0,Norway,NO,5367580,NOR,Europe
05/03/2021,2021,3,5,690,0,Norway,NO,5367580,NOR,Europe
04/03/2021,2021,3,4,500,9,Norway,NO,5367580,NOR,Europe
03/03/2021,2021,3,3,731,0,Norway,NO,5367580,NOR,Europe
02/03/2021,2021,3,2,968,1,Norway,NO,5367580,NOR,Europe
01/03/2021,2021,3,1,70034,622,Norway,NO,5367580,NOR,Europe
12/03/2021,2021,3,12,21111,376,Poland,PL,37958138,POL,Europe
11/03/2021,2021,3,11,17277,398,Poland,PL,37958138,POL,Europe
10/03/2021,2021,3,10,9953,282,Poland,PL,37958138,POL,Europe
09/03/2021,2021,3,9,6169,32,Poland,PL,37958138,POL,Europe
08/03/2021,2021,3,8,13569,126,Poland,PL,37958138,POL,Europe
07/03/2021,2021,3,7,14855,247,Poland,PL,37958138,POL,Europe
06/03/2021,2021,3,6,15831,263,Poland,PL,37958138,POL,Europe
05/03/2021,2021,3,5,15253,289,Poland,PL,37958138,POL,Europe
04/03/2021,2021,3,4,15698,352,Poland,PL,37958138,POL,Europe
03/03/2021,2021,3,3,7936,215,Poland,PL,37958138,POL,Europe
02/03/2021,2021,3,2,4786,24,Poland,PL,37958138,POL,Europe
01/03/2021,2021,3,1,1706986,43769,Poland,PL,37958138,POL,Europe
12/03/2021,2021,3,12,627,18,Portugal,PT,10295909,PRT,Europe
11/03/2021,2021,3,11,642,22,Portugal,PT,10295909,PRT,Europe
10/03/2021,2021,3,10,847,30,Portugal,PT,10295909,PRT,Europe
09/03/2021,2021,3,9,365,25,Portugal,PT,10295909,PRT,Europe
08/03/2021,2021,3,8,682,28,Portugal,PT,10295909,PRT,Europe
07/03/2021,2021,3,7,1007,26,Portugal,PT,10295909,PRT,Europe
06/03/2021,2021,3,6,949,28,Portugal,PT,10295909,PRT,Europe
05/03/2021,2021,3,5,830,28,Portugal,PT,10295909,PRT,Europe
04/03/2021,2021,3,4,979,41,Portugal,PT,10295909,PRT,Europe
03/03/2021,2021,3,3,691,38,Portugal,PT,10295909,PRT,Europe
02/03/2021,2021,3,2,394,34,Portugal,PT,10295909,PRT,Europe
01/03/2021,2021,3,1,804562,16317,Portugal,PT,10295909,PRT,Europe
12/03/2021,2021,3,12,5236,96,Romania,RO,19328838,ROU,Europe
11/03/2021,2021,3,11,4564,100,Romania,RO,19328838,ROU,Europe
10/03/2021,2021,3,10,4989,93,Romania,RO,19328838,ROU,Europe
09/03/2021,2021,3,9,2280,63,Romania,RO,19328838,ROU,Europe
08/03/2021,2021,3,8,3288,46,Romania,RO,19328838,ROU,Europe
07/03/2021,2021,3,7,4064,69,Romania,RO,19328838,ROU,Europe
06/03/2021,2021,3,6,4342,101,Romania,RO,19328838,ROU,Europe
05/03/2021,2021,3,5,4271,98,Romania,RO,19328838,ROU,Europe
04/03/2021,2021,3,4,4278,77,Romania,RO,19328838,ROU,Europe
03/03/2021,2021,3,3,3950,106,Romania,RO,19328838,ROU,Europe
02/03/2021,2021,3,2,2096,53,Romania,RO,19328838,ROU,Europe
01/03/2021,2021,3,1,801994,20350,Romania,RO,19328838,ROU,Europe
12/03/2021,2021,3,12,1978,98,Slovakia,SK,5457873,SVK,Europe
11/03/2021,2021,3,11,3600,109,Slovakia,SK,5457873,SVK,Europe
10/03/2021,2021,3,10,2207,116,Slovakia,SK,5457873,SVK,Europe
09/03/2021,2021,3,9,396,85,Slovakia,SK,5457873,SVK,Europe
08/03/2021,2021,3,8,1286,97,Slovakia,SK,5457873,SVK,Europe
07/03/2021,2021,3,7,2522,74,Slovakia,SK,5457873,SVK,Europe
06/03/2021,2021,3,6,2423,105,Slovakia,SK,5457873,SVK,Europe
05/03/2021,2021,3,5,2800,71,Slovakia,SK,5457873,SVK,Europe
04/03/2021,2021,3,4,3357,101,Slovakia,SK,5457873,SVK,Europe
03/03/2021,2021,3,3,2077,118,Slovakia,SK,5457873,SVK,Europe
02/03/2021,2021,3,2,842,81,Slovakia,SK,5457873,SVK,Europe
01/03/2021,2021,3,1,308083,7189,Slovakia,SK,5457873,SVK,Europe
12/03/2021,2021,3,12,860,17,Slovenia,SI,2095861,SVN,Europe
11/03/2021,2021,3,11,952,11,Slovenia,SI,2095861,SVN,Europe
10/03/2021,2021,3,10,741,0,Slovenia,SI,2095861,SVN,Europe
09/03/2021,2021,3,9,213,0,Slovenia,SI,2095861,SVN,Europe
08/03/2021,2021,3,8,382,28,Slovenia,SI,2095861,SVN,Europe
07/03/2021,2021,3,7,921,0,Slovenia,SI,2095861,SVN,Europe
06/03/2021,2021,3,6,884,0,Slovenia,SI,2095861,SVN,Europe
05/03/2021,2021,3,5,1015,13,Slovenia,SI,2095861,SVN,Europe
04/03/2021,2021,3,4,1210,4,Slovenia,SI,2095861,SVN,Europe
03/03/2021,2021,3,3,732,11,Slovenia,SI,2095861,SVN,Europe
02/03/2021,2021,3,2,243,2,Slovenia,SI,2095861,SVN,Europe
01/03/2021,2021,3,1,190081,4111,Slovenia,SI,2095861,SVN,Europe
11/03/2021,2021,3,11,6255,124,Spain,ES,47332614,ESP,Europe
10/03/2021,2021,3,10,7163,234,Spain,ES,47332614,ESP,Europe
09/03/2021,2021,3,9,3968,291,Spain,ES,47332614,ESP,Europe
08/03/2021,2021,3,8,11958,298,Spain,ES,47332614,ESP,Europe
07/03/2021,2021,3,7,0,0,Spain,ES,47332614,ESP,Europe
06/03/2021,2021,3,6,0,0,Spain,ES,47332614,ESP,Europe
05/03/2021,2021,3,5,6654,637,Spain,ES,47332614,ESP,Europe
04/03/2021,2021,3,4,6037,254,Spain,ES,47332614,ESP,Europe
03/03/2021,2021,3,3,6137,446,Spain,ES,47332614,ESP,Europe
02/03/2021,2021,3,2,4517,192,Spain,ES,47332614,ESP,Europe
01/03/2021,2021,3,1,15978,467,Spain,ES,47332614,ESP,Europe
12/03/2021,2021,3,12,0,0,Sweden,SE,10327589,SWE,Europe
11/03/2021,2021,3,11,0,0,Sweden,SE,10327589,SWE,Europe
10/03/2021,2021,3,10,5254,34,Sweden,SE,10327589,SWE,Europe
09/03/2021,2021,3,9,5934,0,Sweden,SE,10327589,SWE,Europe
08/03/2021,2021,3,8,1996,6,Sweden,SE,10327589,SWE,Europe
07/03/2021,2021,3,7,1452,5,Sweden,SE,10327589,SWE,Europe
06/03/2021,2021,3,6,3459,7,Sweden,SE,10327589,SWE,Europe
05/03/2021,2021,3,5,4075,3,Sweden,SE,10327589,SWE,Europe
04/03/2021,2021,3,4,4886,8,Sweden,SE,10327589,SWE,Europe
03/03/2021,2021,3,3,4885,9,Sweden,SE,10327589,SWE,Europe
02/03/2021,2021,3,2,6198,6,Sweden,SE,10327589,SWE,Europe
01/03/2021,2021,3,1,669053,13033,Sweden,SE,10327589,SWE,Europe
